,postal_code,name,count,lat_deg,long_deg,dpt,insee_code
0,68290,Masevaux,14,47.7833,7.0,68,68201
1,68500,Issenheim,37,47.9,7.266669999999999,68,68156
2,68310,Wittelsheim,5,47.8167,7.25,68,68375
3,68130,Altkirch,11,47.6167,7.25,68,68004
4,68000,Colmar,38,48.0833,7.36667,68,68066
5,68850,Staffelfelden,11,47.8167,7.25,68,68321
6,68260,Kingersheim,14,47.8,7.33333,68,68166
7,68190,Ensisheim,19,47.8667,7.35,68,68082
8,67470,Buhl,6,48.9173,8.00667,67,67069
9,68250,Rouffach,20,47.9667,7.28333,68,68287
10,68740,Roggenhouse,12,47.8833,7.46667,68,68281
11,68700,Wattwiller,15,47.85,7.16667,68,68359
12,68100-68200,Mulhouse,53,47.75,7.33333,68,68224
13,68120,Pfastatt,11,47.7833,7.3,68,68256
14,68390,Baldersheim,8,47.8,7.36667,68,68015
15,68230,Turckheim,5,48.0833,7.28333,68,68338
16,68440,Habsheim,11,47.7333,7.41667,68,68118
17,67201,Eckbolsheim,1,48.5833,7.6833300000000015,67,67118
18,68990,Heimsbrunn,2,47.7333,7.23333,68,68129
19,68470,Mitzach,3,47.8667,7.0,68,68211
20,68610,Lautenbachzell,2,47.9333,7.15,68,68178
21,68270,Wittenheim,14,47.8167,7.33333,68,68376
22,68370,Orbey,1,48.1333,7.16667,68,68249
23,68400,Riedisheim,10,47.75,7.36667,68,68271
24,68220,Hagenthal-le-Bas,17,47.5167,7.46667,68,68120
25,68420,Obermorschwihr,5,48.0167,7.3,68,68244
26,68910,Labaroche,1,48.1167,7.2,68,68173
27,68560,Bettendorf,4,47.5833,7.28333,68,68033
28,68950,Reiningue,3,47.75,7.23333,68,68267
29,90100,Chavanatte,2,47.5833,7.066669999999999,90,90024
30,68180,Horbourg-Wihr,1,48.0795,7.39445,68,68145
31,67000-67100-67200,Strasbourg,15,48.5833,7.75,67,67482
32,68790,Morschwiller-le-Bas,3,47.75,7.266669999999999,68,68218
33,68780,Soppe-le-Bas,6,47.7167,7.08333,68,68313
34,68640,Muespach-le-Haut,2,47.55,7.41667,68,68222
35,68540,Bollwiller,3,47.8667,7.25,68,68043
36,68570,Soultzmatt,6,47.9667,7.23333,68,68318
37,67600,Sélestat,5,48.2667,7.45,67,67462
38,68320,Holtzwihr,4,48.1167,7.41667,68,68143
39,68280,Sundhoffen,5,48.0333,7.41667,68,68331
40,68510,Sierentz,5,47.6667,7.46667,68,68309
41,68840,Pulversheim,2,47.85,7.3,68,68258
42,67140,Andlau,1,48.3864,7.4177800000000005,67,67010
43,68730,Blotzheim,4,47.6,7.4833300000000005,68,68042
44,68870,Brinckheim,2,47.6333,7.45,68,68054
45,68110,Illzach,7,47.7833,7.33333,68,68154
46,68520,Burnhaupt-le-Bas,16,47.7167,7.16667,68,68059
47,68210,Bréchaumont,4,47.6667,7.066669999999999,68,68050
48,67380,Lingolsheim,1,48.5667,7.6833300000000015,67,67267
49,68590,Thannenkirch,1,48.2333,7.3,68,68335
50,68800,Vieux-Thann,15,47.8,7.13333,68,68348
51,68116,Guewenheim,4,47.75,7.08333,68,68115
52,68720,Illfurth,8,47.6667,7.266669999999999,68,68152
53,68350,Brunstatt,3,47.7167,7.316669999999999,68,68056
54,68140,Gunsbach,1,48.05,7.183330000000001,68,68117
55,68690,Geishouse,2,47.8833,7.066669999999999,68,68102
56,68480,Wolschwiller,3,47.4667,7.4,68,68380
57,68970,Guémar,1,48.1833,7.4,68,68113
58,68920,Wintzenheim,5,48.0667,7.28333,68,68374
59,68360,Soultz-Haut-Rhin,2,47.8833,7.23333,68,68315
60,68170,Rixheim,6,47.7667,7.4,68,68278
61,67210,Obernai,1,48.4667,7.4833300000000005,67,67348
62,68460,Lutterbach,3,47.7667,7.28333,68,68195
63,68600,Biesheim,3,48.0333,7.55,68,68036
64,90110,Rougemont-le-Château,2,47.7333,6.96667,90,90089
65,90000,Belfort,11,47.6333,6.86667,90,90010
66,68125,Houssen,1,48.1167,7.38333,68,68146
67,90850,Essert,2,47.6333,6.816669999999999,90,90039
68,68040,Ingersheim,1,48.1,7.3,68,68155
69,67850,Herrlisheim,1,48.7333,7.9,67,67194
70,67680,Epfig,1,48.3667,7.45,67,67125
71,68680,Niffer,6,47.7167,7.5166699999999995,68,68238
72,68890,Réguisheim,2,47.9,7.35,68,68266
73,68580,Hindlingen,4,47.5667,7.13333,68,68137
74,67150,Erstein,2,48.4333,7.66667,67,67130
75,68121,Urbès,1,47.8833,6.95,68,68344
76,67650,Dambach-la-Ville,1,48.3333,7.433330000000001,67,67084
77,68380,Sondernach,2,47.9833,7.08333,68,68311
78,68330,Huningue,1,47.6,7.58333,68,68149
79,67360,Hegeney,1,48.8833,7.7333300000000005,67,67186
80,68150,Aubure,2,48.2,7.21667,68,68014
81,68750,Bergheim,2,48.2,7.36667,68,68028
82,67750,Scherwiller,1,48.2833,7.41667,67,67445
83,67190,Grendelbruch,1,48.5,7.316669999999999,67,67167
84,68660,Lièpvre,1,48.2667,7.28333,68,68185
85,68650,Lapoutroie,1,48.15,7.16667,68,68175
86,68128,Rosenau,2,47.6333,7.53333,68,68286
87,68127,Biltzheim,9,47.9578,7.38806,68,68037
88,68118,Hirtzbach,1,47.6,7.21667,68,68139
89,68760,Willer-sur-Thur,1,47.85,7.08333,68,68372
90,67440,Marmoutier,1,48.6833,7.38333,67,67283
91,90400,Trévenans,1,47.5709,6.86195,90,90097
92,68550,Saint-Amarin,1,47.8833,7.016669999999999,68,68292
93,90500,Beaucourt,1,47.4833,6.91667,90,90009
