dpt,slug,name,clean_name,real_name,postal_code,insee_code,long_deg,lat_deg
1,ozan,OZAN,ozan,Ozan,1190,1284,4.91667,46.3833
1,cormoranche-sur-saone,CORMORANCHE-SUR-SAONE,cormoranche sur saone,Cormoranche-sur-Saône,1290,1123,4.83333,46.2333
1,plagne-01,PLAGNE,plagne,Plagne,1130,1298,5.73333,46.1833
1,tossiat,TOSSIAT,tossiat,Tossiat,1250,1422,5.31667,46.1333
1,pouillat,POUILLAT,pouillat,Pouillat,1250,1309,5.43333,46.3333
1,torcieu,TORCIEU,torcieu,Torcieu,1230,1421,5.4,45.9167
1,replonges,REPLONGES,replonges,Replonges,1620,1320,4.88333,46.3
1,corcelles,CORCELLES,corcelles,Corcelles,1110,1119,5.58333,46.0333
1,peron,PERON,peron,Péron,1630,1288,5.93333,46.2
1,relevant,RELEVANT,relevant,Relevant,1990,1319,4.95,46.0833
1,chaveyriat,CHAVEYRIAT,chaveyriat,Chaveyriat,1660,1096,5.06667,46.1833
1,vaux-en-bugey,VAUX-EN-BUGEY,vaux en bugey,Vaux-en-Bugey,1150,1431,5.35,45.9167
1,maillat,MAILLAT,maillat,Maillat,1430,1228,5.55,46.1333
1,faramans-01,FARAMANS,faramans,Faramans,1800,1156,5.11667,45.9
1,beon-01,BEON,beon,Béon,1350,1039,5.75,45.8333
1,saint-bernard-01,SAINT-BERNARD,saint bernard,Saint-Bernard,1600,1339,4.73723,45.945
1,rossillon,ROSSILLON,rossillon,Rossillon,1510,1329,5.6,45.8333
1,pont-d-ain,PONT-D'AIN,pont d ain,Pont-d'Ain,1160,1304,5.33333,46.05
1,nantua,NANTUA,nantua,Nantua,1460,1269,5.61667,46.15
1,chavannes-sur-reyssouze,CHAVANNES-SUR-REYSSOUZE,chavannes sur reyssouze,Chavannes-sur-Reyssouze,1190,1094,5,46.4333
1,neuville-les-dames,NEUVILLE-LES-DAMES,neuville les dames,Neuville-les-Dames,1400,1272,5,46.1667
1,flaxieu,FLAXIEU,flaxieu,Flaxieu,1350,1162,5.73333,45.8167
1,hotonnes,HOTONNES,hotonnes,Hotonnes,1260,1187,5.68333,46
1,saint-sorlin-en-bugey,SAINT-SORLIN-EN-BUGEY,saint sorlin en bugey,Saint-Sorlin-en-Bugey,1150,1386,5.36667,45.8833
1,songieu,SONGIEU,songieu,Songieu,1260,1409,5.7,45.9667
1,virieu-le-petit,VIRIEU-LE-PETIT,virieu le petit,Virieu-le-Petit,1260,1453,5.71667,45.9
1,saint-denis-en-bugey,SAINT-DENIS-EN-BUGEY,saint denis en bugey,Saint-Denis-en-Bugey,1500,1345,5.33333,45.95
1,charnoz-sur-ain,CHARNOZ-SUR-AIN,charnoz sur ain,Charnoz-sur-Ain,1800,1088,5.21667,45.8667
1,chazey-sur-ain,CHAZEY-SUR-AIN,chazey sur ain,Chazey-sur-Ain,1150,1099,5.25,45.9
1,marchamp,MARCHAMP,marchamp,Marchamp,1680,1233,5.55,45.7833
1,culoz,CULOZ,culoz,Culoz,1350,1138,5.78333,45.85
1,mantenay-montlin,MANTENAY-MONTLIN,mantenay montlin,Mantenay-Montlin,1560,1230,5.08333,46.4167
1,marboz,MARBOZ,marboz,Marboz,1851,1232,5.25,46.3333
1,foissiat,FOISSIAT,foissiat,Foissiat,1340,1163,5.18333,46.3667
1,treffort-cuisiat,TREFFORT-CUISIAT,treffort cuisiat,Treffort-Cuisiat,1370,1426,5.36834,46.2714
1,izieu,IZIEU,izieu,Izieu,1300,1193,5.63333,45.65
